340001,0.3960
340002,0.3900
340003,0.5349
340004,0.3106
340008,0.1455
340010,0.2977
340013,0.5217
340014,0.2933
340015,0.2971
340016,0.3000
340017,0.4378
340020,0.4922
340021,0.2051
340023,0.4379
340024,0.2275
340027,0.3081
340028,0.3099
340030,0.8726
340032,0.2875
340037,0.3174
340039,0.4289
340040,0.3286
340041,0.3750
340042,0.4677
340047,0.4100
340049,0.7350
340050,1.0000
340051,0.3265
340053,0.4313
340060,0.5341
340061,0.6531
340064,0.3627
340068,0.2640
340069,0.5119
340070,0.5337
340071,0.4988
340073,0.6026
340075,0.2524
340084,0.8046
340085,0.3440
340087,0.5021
340090,0.3598
340091,0.4455
340096,0.0000
340097,0.4436
340098,0.4430
340099,0.4564
340106,0.4158
340107,0.3537
340109,0.2448
340113,0.0245
340114,0.5512
340115,0.4713
340116,0.3825
340119,0.4590
340120,0.4305
340123,0.5023
340126,0.3411
340127,0.4863
340129,0.5267
340130,0.6812
340131,0.5489
340132,0.5316
340133,0.3409
340141,0.3406
340142,0.5032
340143,0.4061
340144,0.4442
340145,0.6933
340147,0.3361
340148,0.3464
340151,0.2871
340155,0.9064
340156,0.0435
340158,0.2785
340159,0.7363
340166,0.5638
340168,0.0000
340171,0.1550
340173,0.6307
340183,0.0453
340184,0.3775
340186,0.3942
340187,0.1690
340188,0.0000
340189,0.0000
341302,0.3333
341303,0.3548
341304,0.0139
341305,0.3667
341307,0.3662
341311,0.6920
341314,0.2278
341315,0.2000
341316,0.3077
341317,0.0000
341318,0.4466
341319,0.4321
341320,0.5593
341322,0.3455
341323,0.3333
341324,0.2353
341325,0.6854
341326,0.4706
341327,0.1429
341328,0.2093
341329,0.5536
